Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DTUL,iPath US Treasury 2-year Bull ETN,63.92,$4.57M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dtul
DFVS,iPath US Treasury 5-year Bear Exchange Traded Note,33.668,$1.7M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dfvs
DFVL,iPath US Treasury 5-year Bull ETN,63.08,$1.89M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dfvl
FLAT,iPath US Treasury Flattener ETN,58.01,$4.81M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/flat
DLBS,iPath US Treasury Long Bond Bear ETN,24.183,$20.06M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dlbs
DLBL,iPath US Treasury Long Bond Bull ETN,71.53,$4.03M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/dlbl
STPP,iPath US Treasury Steepener ETN,37.25,$15.16M,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/stpp
IPCM,"IPC Healthcare, Inc.",50.37,$875.81M,2008,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ipcm
IPGP,IPG Photonics Corporation,91.55,$4.82B,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/ipgp
IRMD,iRadimed Corporation,20.41,$223.97M,2014,n/a,n/a,http://www.nasdaq.com/symbol/irmd
IRIX,IRIDEX Corporation,8.73,$87.55M,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/irix
IRDM,Iridium Communications Inc,9.97,$942.62M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/irdm
IRDMB,Iridium Communications Inc,357.5,$178.75M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/irdmb
IRBT,iRobot Corporation,32.96,$979.71M,2005,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/irbt
IRWD,"Ironwood Pharmaceuticals, Inc.",12.2,$1.73B,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/irwd
IRCP,IRSA Propiedades Comerciales S.A.,32.4505,$1.02B,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/ircp
COMT,iShares Commodities Select Strategy ETF,39.59,$308.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/comt
GNMA,iShares Core GNMA Bond ETF,49.91,$39.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gnma
FCHI,iShares FTSE China (HK Listed) Index Fund,59.41,$35.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fchi
IFAS,iShares FTSE EPRA/NAREIT Asia Index Fund,31.3,$18.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifas
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,38.13,$81.98M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifeu
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,30.9,$970.26M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifgl
IFNA,iShares FTSE EPRA/NAREIT North America Index Fund,53.76,$21.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifna
ACWX,iShares MSCI ACWI ex US Index Fund,45.5,$2.03B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwx
ACWI,iShares MSCI ACWI Index Fund,61.14,$6.47B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwi
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,63.46,$4.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj
AXJS,iShares MSCI All Country Asia ex Japan Small Cap Index Fund,59.6544,$5.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axjs
AAIT,iShares MSCI All Country Asia Information Technology Index Fun,34.7681,$6.95M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aait
EEMA,iShares MSCI Emerging Markets Asia Index Fund,60.29,$165.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eema
EMDI,iShares MSCI Emerging Markets Consumer Discrectionary Sector I,52.23,$5.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emdi
EEME,iShares MSCI Emerging Markets EMEA Index Fund,44.1,$8.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eeme
EMEY,iShares MSCI Emerging Markets Energy Sector Capped Index Fund,29.98,$1.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emey
EGRW,iShares MSCI Emerging Markets Growth Index Fund,57.94,$5.79M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/egrw
EEML,iShares MSCI Emerging Markets Latin America Index Fund,34.36,$10.31M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eeml
EVAL,iShares MSCI Emerging Markets Value Index Fund,45,$22.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eval
EUFN,iShares MSCI Europe Financials Sector Index Fund,23.69,$427.6M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eufn
IEUS,iShares MSCI Europe Small-Cap ETF,47.32,$40.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ieus
QAT,iShares MSCI Qatar Capped ETF,22.18,$29.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qat
UAE,iShares MSCI UAE Capped ETF,19.93,$43.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uae
IBB,iShares Nasdaq Biotechnology Index Fund,364.38,$8.87B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibb
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,96.88,$528M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/soxx
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,34.202,$76.95M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/emif
ICLN,iShares S&P Global Clean Energy Index Fund,11.6099,$87.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/icln
WOOD,iShares S&P Global Timber & Forestry Index Fund,54,$294.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wood
INDY,iShares S&P India Nifty 50 Index Fund,28.8,$933.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/indy
ISHG,iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun,80.08,$156.16M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ishg
IGOV,iShares S&P/Citigroup International Treasury Bond Fund,89.9705,$463.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/igov
ISIS,"Isis Pharmaceuticals, Inc.",62.18,$7.44B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/isis
ISLE,"Isle of Capri Casinos, Inc.",20.01,$800.96M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/isle
ISRL,"Isramco, Inc.",118.01,$320.71M,1983,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/isrl
ITRI,"Itron, Inc.",35.89,$1.38B,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/itri
ITRN,Ituran Location and Control Ltd.,24.73,$580.55M,2005,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/itrn
XXIA,Ixia,12.75,$1.01B,2000,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/xxia
IXYS,IXYS Corporation,14.82,$469.84M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ixys
JJSF,J & J Snack Foods Corp.,109.81,$2.05B,1986,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jjsf
MAYS,"J. W. Mays, Inc.",55,$110.87M,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/mays
JBHT,"J.B. Hunt Transport Services, Inc.",85.32,$9.94B,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht
JCOM,"j2 Global, Inc.",68.21,$3.29B,1999,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcom
JASO,"JA Solar Holdings, Co., Ltd.",9.13,$460.7M,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/jaso
JKHY,"Jack Henry & Associates, Inc.",65.71,$5.37B,1985,Technology,EDP Services,http://www.nasdaq.com/symbol/jkhy
JACK,Jack In The Box Inc.,86.84,$3.25B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jack
JXSB,Jacksonville Bancorp Inc.,23.86,$43.09M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/jxsb
JAXB,"Jacksonville Bancorp, Inc.",14.89,$86.31M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jaxb
JAGX,"Jaguar Animal Health, Inc.",6.43,$52.21M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jagx
JAKK,"JAKKS Pacific, Inc.",8.85,$207.14M,1996,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jakk
JMBA,"Jamba, Inc.",15.46,$247.33M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jmba
JRVR,"James River Group Holdings, Ltd.",24,$684.97M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/jrvr
ERW,Janus Equal Risk Weighted Large Cap ETF,53.69,$29.53M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/erw
JASN,"Jason Industries, Inc.",6.6,$145.14M,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasn
JASNW,"Jason Industries, Inc.",0.55,n/a,2013,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/jasnw
JAZZ,Jazz Pharmaceuticals plc,177.91,$10.86B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jazz
JD,"JD.com, Inc.",36.5,$49.91B,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jd
JDSU,JDS Uniphase Corporation,12.64,$2.96B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/jdsu
JBLU,JetBlue Airways Corporation,19.55,$6.12B,2002,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/jblu
JTPY,JetPay Corporation,2.64,$36.6M,2011,Finance,Business Services,http://www.nasdaq.com/symbol/jtpy
JCTCF,Jewett-Cameron Trading Company,11.9,$30.77M,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/jctcf
DATE,Jiayuan.com International Ltd.,7.2,$239.67M,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/date
JST,Jinpan International Limited,4.9,$80.45M,1998,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/jst
JIVE,"Jive Software, Inc.",5.75,$430.2M,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/jive
JOEZ,Joe&#39;s Jeans Inc.,0.1567,$10.94M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/joez
JBSS,"John B. Sanfilippo & Son, Inc.",52.13,$580.57M,1991,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/jbss
JOUT,Johnson Outdoors Inc.,25.88,$258.92M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/jout
JNP,"Juniper Pharmaceuticals, Inc.",7.97,$85.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnp
JUNO,"Juno Therapeutics, Inc.",58.42,$5.28B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/juno
KTWO,"K2M Group Holdings, Inc.",24.2,$959.65M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ktwo
KALU,Kaiser Aluminum Corporation,84.19,$1.44B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/kalu
KBIO,"KaloBios Pharmaceuticals, Inc.",0.54,$17.82M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kbio
KMDA,Kamada Ltd.,4.15,$149.67M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmda
KNDI,"Kandi Technologies Group, Inc.",10.18,$476.78M,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/kndi
KCLI,Kansas City Life Insurance Company,45.24,$487.65M,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/kcli
KPTI,Karyopharm Therapeutics Inc.,26.75,$954.84M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kpti
KBSF,KBS Fashion Group Limited,3.96,$100.65M,2013,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/kbsf
KCAP,"KCAP Financial, Inc.",6.06,$223.47M,2006,n/a,n/a,http://www.nasdaq.com/symbol/kcap
KRNY,Kearny Financial,11.45,$1.06B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/krny
KELYA,"Kelly Services, Inc.",15.07,$568.6M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelya
KELYB,"Kelly Services, Inc.",17.964,$677.79M,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelyb
KMPH,"KemPharm, Inc.",16.27,$231.46M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kmph
KFFB,Kentucky First Federal Bancorp,8.66,$73.09M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/kffb
KERX,"Keryx Biopharmaceuticals, Inc.",9.89,$1.02B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kerx
GMCR,"Keurig Green Mountain, Inc.",83.53,$12.86B,1993,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/gmcr
KEQU,Kewaunee Scientific Corporation,16.79,$44.14M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kequ
KTEC,"Key Technology, Inc.",12.64,$79.38M,1993,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ktec
KTCC,Key Tronic Corporation,10.5199,$111M,1983,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ktcc
KFRC,"Kforce, Inc.",22.06,$652.8M,1995,Technology,Professional Services,http://www.nasdaq.com/symbol/kfrc
KE,"Kimball Electronics, Inc.",15.59,$454.79M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/ke
KBAL,"Kimball International, Inc.",12.04,$464.23M,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/kbal
KIN,"Kindred Biosciences, Inc.",7.59,$149.77M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kin
KGJI,Kingold Jewelry Inc.,1.04,$68.6M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/kgji
KINS,"Kingstone Companies, Inc",7.6,$55.8M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kins
KONE,Kingtone Wirelessinfo Solution Holding Ltd,5.46,$7.67M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/kone
KIRK,"Kirkland&#39;s, Inc.",25.94,$448.63M,2002,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/kirk
KITE,"Kite Pharma, Inc.",59.1,$2.54B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/kite
KLAC,KLA-Tencor Corporation,57.2,$9.15B,1980,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/klac
KLXI,KLX Inc.,44.41,$2.34B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/klxi
KONA,"Kona Grill, Inc.",20.27,$228.38M,2005,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/kona
KZ,KongZhong Corporation,7.95,$374.06M,n/a,Technology,Telecommunications Equipment,http://www.nasdaq.com/symbol/kz
KOPN,Kopin Corporation,3.56,$236.72M,1992,Technology,Semiconductors,http://www.nasdaq.com/symbol/kopn
KRNT,Kornit Digital Ltd.,14.66,$436.38M,2015,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/krnt
KOSS,Koss Corporation,2.55,$18.83M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/koss
KRFT,"Kraft Foods Group, Inc.",85.2,$50.43B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/krft
KWEB,KraneShares CSI China Internet ETF,43.23,$168.6M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kweb
KTOS,"Kratos Defense & Security Solutions, Inc.",6.64,$386.99M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ktos
KUTV,"Ku6 Media Co., Ltd.",1.31,$62.4M,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/kutv
KLIC,"Kulicke and Soffa Industries, Inc.",12.6,$967.93M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/klic
KVHI,"KVH Industries, Inc.",13.4,$215.35M,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/kvhi
KYTH,"Kythera Biopharmaceuticals, Inc.",60.72,$1.57B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/kyth
FSTR,L.B. Foster Company,35.52,$369.06M,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/fstr
LJPC,La Jolla Pharmaceutical Company,21.48,$327.59M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ljpc
LSBK,"Lake Shore Bancorp, Inc.",15.5,$92.88M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/lsbk
LSBG,Lake Sunapee Bank Group,14.9613,$123.72M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/lsbg
LBAI,"Lakeland Bancorp, Inc.",11.5,$435.85M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lbai
LKFN,Lakeland Financial Corporation,42.15,$700.14M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lkfn
LAKE,"Lakeland Industries, Inc.",11.8,$83.45M,1986,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/lake
LACO,"Lakes Entertainment, Inc.",9.008,$120.63M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/laco
LRCX,Lam Research Corporation,82.55,$13.07B,1984,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lrcx
LAMR,Lamar Advertising Company,58.56,$6.5B,1996,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lamr
LANC,Lancaster Colony Corporation,90.15,$2.47B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lanc
LNDC,Landec Corporation,14.43,$388.85M,1996,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/lndc
LARK,Landmark Bancorp Inc.,27.5,$91.78M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lark
LMRK,Landmark Infrastructure Partners LP,16.24,$127.3M,2014,Consumer Services,Real Estate,http://www.nasdaq.com/symbol/lmrk
LE,"Lands&#39; End, Inc.",23.53,$751.94M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/le
LSTR,"Landstar System, Inc.",66.75,$2.96B,1993,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/lstr
LTRX,"Lantronix, Inc.",1.69,$25.25M,2000,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ltrx
LPSB,"LaPorte Bancorp, Inc.",13.97,$78.56M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/lpsb
LSCC,Lattice Semiconductor Corporation,6.37,$744.04M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/lscc
LAWS,"Lawson Products, Inc.",22.66,$197.33M,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/laws
LAYN,Layne Christensen Company,8.91,$175.92M,1992,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/layn
LCNB,LCNB Corporation,15.45,$143.96M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lcnb
LDRH,LDR Holding Corporation,44.47,$1.18B,2013,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ldrh
LBIX,Leading Brands Inc,3.66,$10.62M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/lbix
LTRE,"Learning Tree International, Inc.",1.36,$17.99M,1995,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ltre
LGCY,Legacy Reserves LP,9.56,$661.63M,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcy
LGCYO,Legacy Reserves LP,20.8399,$145.88M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcyo
LGCYP,Legacy Reserves LP,20.75,$41.5M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lgcyp
LTXB,"LegacyTexas Financial Group, Inc.",30.18,$1.44B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ltxb
LMAT,"LeMaitre Vascular, Inc.",11.13,$195.28M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/lmat
TREE,"LendingTree, Inc.",65.24,$747.16M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/tree
TACO,Levy Acquisition Corp.,14.88,$279M,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/taco
TACOU,Levy Acquisition Corp.,17.4901,$327.94M,2013,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tacou
TACOW,Levy Acquisition Corp.,5.55,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tacow
LXRX,"Lexicon Pharmaceuticals, Inc.",7.78,$806.11M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lxrx
LGIH,"LGI Homes, Inc.",18.51,$368.51M,2013,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/lgih
LHCG,LHC Group,37.49,$673.63M,2005,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/lhcg
LBRDA,Liberty Broadband Corporation,51.91,$5.36B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbrda
LBRDK,Liberty Broadband Corporation,51.78,$5.34B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbrdk
LBTYA,Liberty Global plc,55.96,$49.35B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtya
LBTYB,Liberty Global plc,54.38,$47.95B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyb
LBTYK,Liberty Global plc,52.345,$46.16B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyk
LVNTA,Liberty Interactive Corporation,40.41,$5.44B,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/lvnta
LVNTB,Liberty Interactive Corporation,40.5,$5.72B,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/lvntb
QVCA,Liberty Interactive Corporation,28.38,$13.41B,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/qvca
QVCB,Liberty Interactive Corporation,28.36,$13.4B,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/qvcb
LMCA,Liberty Media Corporation,37.87,$12.91B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmca
LMCB,Liberty Media Corporation,38.8401,$13.24B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmcb
LMCK,Liberty Media Corporation,37.38,$12.74B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmck
TAX,"Liberty Tax, Inc.",23.92,$303.46M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/tax
LTRPA,"Liberty TripAdvisor Holdings, Inc.",28.03,$2.1B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpa
LTRPB,"Liberty TripAdvisor Holdings, Inc.",31.69,$2.37B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpb
LPNT,"LifePoint Health, Inc.",74.92,$3.32B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/lpnt
LCUT,"Lifetime Brands, Inc.",14.98,$207.64M,1991,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lcut
LFVN,Lifevantage Corporation,0.52,$50.45M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lfvn
LWAY,"Lifeway Foods, Inc.",18.21,$297.66M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lway
LGND,Ligand Pharmaceuticals Incorporated,90.71,$1.78B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lgnd
LTBR,Lightbridge Corporation,1.17,$21.16M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ltbr
LPTH,"LightPath Technologies, Inc.",1.72,$26.2M,1996,Technology,Semiconductors,http://www.nasdaq.com/symbol/lpth
LLEX,"Lilis Energy, Inc.",1.37,$37.32M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/llex
LIME,Lime Energy Co.,3.55,$33.89M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/lime
LLNW,"Limelight Networks, Inc.",4.22,$420.08M,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/llnw
LMNR,Limoneira Co,21.15,$298.73M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/lmnr
LINC,Lincoln Educational Services Corporation,2.55,$61.4M,2005,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/linc
LECO,"Lincoln Electric Holdings, Inc.",62.48,$4.72B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/leco
LLTC,Linear Technology Corporation,45.995,$11.01B,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/lltc
LNCO,"Linn Co, LLC",10.5,$1.35B,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lnco
LINE,"Linn Energy, LLC",10.23,$3.45B,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/line
LBIO,"Lion Biotechnologies, Inc.",11.74,$528.65M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/lbio
LIOX,"Lionbridge Technologies, Inc.",6.15,$395.67M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/liox
LPCN,Lipocine Inc.,7.29,$132.72M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lpcn
LIQD,"Liquid Holdings Group, Inc.",0.279,$16.83M,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/liqd
LQDT,"Liquidity Services, Inc.",10.01,$300.41M,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lqdt
LFUS,"Littelfuse, Inc.",97.42,$2.2B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/lfus
LIVE,"LiveDeal, Inc.",2.64,$42.55M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/live
LPSN,"LivePerson, Inc.",10.31,$588.2M,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/lpsn
LKQ,LKQ Corporation,29.285,$8.91B,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/lkq
LMIA,"LMI Aerospace, Inc.",10.41,$137.26M,1998,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/lmia
